league,match_date_utc,home_team_fixture,away_team_fixture,status,match_key,sport_key,commence_time,home_team_odds,away_team_odds,bookmaker,market_type,selection_name,decimal_odds
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (FR),H2H,Levante,2.4
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (FR),H2H,Sevilla,2.95
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Unibet (FR),H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Pinnacle,H2H,Levante,2.48
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Pinnacle,H2H,Sevilla,3.11
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Pinnacle,H2H,Draw,3.24
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,1xBet,H2H,Levante,2.54
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,1xBet,H2H,Sevilla,3.17
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,1xBet,H2H,Draw,3.25
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Codere (IT),H2H,Levante,2.47
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Codere (IT),H2H,Sevilla,2.95
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Codere (IT),H2H,Draw,3.25
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,William Hill,H2H,Levante,2.4
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,William Hill,H2H,Sevilla,2.9
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,William Hill,H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (DE),H2H,Levante,2.4
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (DE),H2H,Sevilla,2.95
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (DE),H2H,Draw,3.3
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (FR),H2H,Levante,2.35
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (FR),H2H,Sevilla,2.9
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Winamax (FR),H2H,Draw,3.25
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Tipico,H2H,Levante,2.35
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Tipico,H2H,Sevilla,3.1
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Tipico,H2H,Draw,3.2
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Marathon Bet,H2H,Levante,2.5
Primera Division,2026-04-23T17:00:00Z,Levante,Sevilla,TIMED,Levante vs Sevilla,soccer_spain_la_liga,2026-04-23T17:00:00Z,Levante,Sevilla,Marathon Bet,H2H,Sevilla,3.12
